SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,SoundResponse,SoundRT,SoundCorrect,SoundConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,TotalEncodingTrial
22,141,137,6,Negative,3,91,4,147,186,2,1,30,288,3,0.001795035,0,0,261,2.432702363,321,-1,114,135,114,135,141.0156652,2349
22,142,132,6,Negative,6,104,4,234,120,1,2,351,162,1,0.50912152,1,1,234,2.673786555,120,1.239936758,0,0,0,0,148.0130834,2350
22,143,143,6,Neutral,7,135,6,234,162,1,2,330,162,3,0.537818899,1,0,153,4.342772404,6,4.305449588,-81,-156,81,156,155.0108257,2351
22,144,138,6,Negative,4,49,5,318,72,1,2,255,126,3,0.550015656,0,0,237,3.003525734,351,3.903017741,-81,-81,81,81,162.0087981,2352
24,1,24,1,Neutral,8,25,5,192,189,2,1,297,129,2,1.001559012,0,0,234,3.954223862,174,5.115084644,42,-15,42,15,1.011764228,2353
24,2,14,1,Negative,2,86,4,159,18,2,1,198,207,1,0.350251084,1,1,123,4.118523732,24,5.406317035,-36,6,36,6,8.00951517,2354
24,3,6,1,Negative,3,89,3,90,255,1,2,93,69,1,1.030630549,1,1,87,2.802833268,198,-1,-3,-57,3,57,15.00722605,2355
24,4,8,1,Neutral,7,84,6,81,336,2,1,114,129,3,1.214506128,1,0,69,-1,336,4.84368202,-12,0,12,0,22.00496321,2356
24,5,13,1,Neutral,9,143,4,18,96,1,2,126,255,2,1.88665953,0,0,6,-1,174,-1,-12,78,12,78,29.01925305,2357
24,6,3,1,Neutral,8,104,3,291,318,2,1,186,228,4,1.679569533,1,1,282,5.56451313,342,-1,-9,24,9,24,36.01702245,2358
24,7,17,1,Neutral,11,141,2,210,141,1,2,255,354,3,1.234093048,1,0,249,4.85983969,144,4.857120514,39,3,39,3,43.01469193,2359
24,8,20,1,Neutral,7,45,1,99,42,2,1,135,357,3,1.488827785,1,0,147,3.098553845,42,4.092409594,48,0,48,0,50.01238042,2360
24,9,12,1,Neutral,9,113,5,288,234,1,2,237,333,4,0.561026977,1,1,243,5.29928022,249,-1,-45,15,45,15,57.01010184,2361
24,10,10,1,Negative,4,103,4,207,192,1,2,45,87,3,1.699506268,0,0,39,-1,192,2.61210241,-168,0,168,0,64.00779741,2362
24,11,4,1,Negative,1,109,3,36,60,2,1,345,144,-1,-1,0,-1,48,4.364243526,54,-1,12,-6,12,6,71.00550868,2363
24,12,2,1,Negative,3,131,5,348,108,1,2,195,336,1,0.557854945,1,1,360,3.37818809,102,5.441989111,12,-6,12,6,78.00321722,2364
24,13,21,1,Negative,2,120,1,144,297,2,1,261,75,3,0.429330095,0,0,312,-1,303,5.654458859,168,6,168,6,85.01755278,2365
24,14,23,1,Neutral,10,18,1,342,120,1,2,273,132,4,0.980519465,1,1,354,2.620164234,126,1.517376915,12,6,12,6,92.0152568,2366
24,15,9,1,Negative,5,17,6,288,42,1,2,45,249,1,1.06719979,1,1,282,-1,39,4.992256331,-6,-3,6,3,99.01297133,2367
24,16,19,1,Negative,6,112,5,66,63,2,1,84,246,2,1.22481649,1,0,75,3.428335053,60,3.819708277,9,-3,9,3,106.0106937,2368
24,17,15,1,Neutral,12,132,2,339,189,2,1,189,207,3,0.462025047,1,0,204,3.653839763,138,5.383749656,-135,-51,135,51,113.0083964,2369
24,18,1,1,Neutral,12,44,4,327,294,2,1,243,132,2,1.086256993,0,0,336,4.684721518,294,3.16634194,9,0,9,0,120.0061184,2370
24,19,22,1,Negative,1,29,2,273,354,2,1,300,45,3,0.617573778,0,0,252,3.241000609,186,2.759104142,-21,-168,21,168,127.0037966,2371
24,20,5,1,Negative,5,14,1,249,177,1,2,78,336,1,0.60016712,1,1,237,-1,180,2.425639767,-12,3,12,3,134.0181899,2372
24,21,16,1,Neutral,11,47,6,147,165,1,2,141,129,2,0.909872958,0,0,120,3.519147972,159,-1,-27,-6,27,6,141.0158876,2373
24,22,18,1,Negative,4,74,2,78,48,1,2,180,255,1,0.647170978,1,1,135,2.386951273,48,2.423418127,57,0,57,0,148.0135556,2374
24,23,11,1,Neutral,10,88,3,141,189,1,2,303,351,3,1.041543521,1,0,123,-1,252,-1,-18,63,18,63,155.0112653,2375
24,24,7,1,Negative,6,138,6,237,261,2,1,243,240,1,0.864143824,1,1,234,2.769533783,258,2.928899252,-3,-3,3,3,162.0089749,2376
24,25,30,2,Negative,4,4,3,108,237,2,1,351,249,1,0.303622764,1,1,93,2.002563602,222,5.028100675,-15,-15,15,15,1.004097446,2377
24,26,27,2,Negative,3,27,6,72,192,2,1,84,123,1,0.350682779,1,1,72,-1,204,4.738077605,0,12,0,12,8.018431676,2378
24,27,40,2,Neutral,10,64,6,126,42,2,1,129,336,4,0.438922988,1,1,102,2.274365963,201,-1,-24,159,24,159,15.01615975,2379
24,28,25,2,Negative,4,56,5,243,192,2,1,360,198,1,0.486341904,1,1,231,4.480882269,189,4.019896167,-12,-3,12,3,22.01383274,2380
24,29,34,2,Negative,2,54,2,27,336,1,2,93,324,1,0.339015854,1,1,27,5.952099189,336,1.788416784,0,0,0,0,29.01154413,2381
24,30,43,2,Negative,5,21,2,222,105,2,1,174,324,2,0.771412827,1,0,240,2.117030307,105,3.400530072,18,0,18,0,36.00923616,2382
24,31,47,2,Neutral,11,90,1,153,135,2,1,309,282,1,0.431536672,0,1,96,2.887465044,135,3.776460152,-57,0,57,0,43.00697077,2383
24,32,35,2,Negative,3,51,1,315,9,2,1,45,180,2,0.399239474,1,0,333,-1,9,2.87390227,18,0,18,0,50.00472044,2384
24,33,44,2,Negative,5,72,4,129,48,2,1,333,348,1,0.378522212,1,1,117,3.431279635,45,2.903670816,-12,-3,12,3,57.00238148,2385
24,34,46,2,Negative,1,48,6,342,96,1,2,321,105,1,0.330176732,1,1,33,3.37454384,93,3.777124368,51,-3,51,3,64.01676115,2386
24,35,33,2,Neutral,7,19,6,243,315,1,2,354,45,3,0.576175735,1,0,225,4.541212192,318,4.680992024,-18,3,18,3,71.01445968,2387
24,36,26,2,Negative,2,11,3,210,126,1,2,297,177,1,0.71510033,1,1,207,4.883619204,120,4.984563313,-3,-6,3,6,78.01214688,2388
24,37,32,2,Neutral,11,52,4,324,348,2,1,360,267,4,0.893171869,1,1,327,3.362433925,354,4.794850343,3,6,3,6,85.00985586,2389
24,38,36,2,Negative,6,118,1,48,255,1,2,282,15,3,0.774419935,0,0,222,-1,255,2.362853361,174,0,174,0,92.00755903,2390
24,39,41,2,Neutral,7,55,1,228,183,1,2,261,6,-1,-1,0,-1,267,2.410205453,174,3.51191766,39,-9,39,9,99.00533324,2391
24,40,39,2,Negative,6,110,4,192,114,1,2,276,189,3,1.175839823,0,0,309,-1,126,5.542175347,117,12,117,12,106.0030508,2392
24,41,31,2,Neutral,8,41,3,162,24,1,2,282,318,4,0.664123856,1,1,99,5.777770699,30,4.628674837,-63,6,63,6,113.0173289,2393
24,42,29,2,Negative,1,144,5,183,117,1,2,87,12,3,0.581149772,0,0,201,4.870235217,105,2.611715169,18,-12,18,12,120.0153449,2394
24,43,28,2,Neutral,9,5,2,81,36,2,1,42,285,3,1.00851126,1,0,78,4.467669044,36,3.435534383,-3,0,3,0,127.0127525,2395
24,44,42,2,Neutral,9,123,3,18,321,2,1,132,156,2,0.367044372,0,0,12,5.23041617,303,5.690620134,-6,-18,6,18,134.0104707,2396
24,45,48,2,Neutral,10,8,5,312,279,2,1,147,66,4,0.649132344,1,1,291,4.462994482,279,2.576965048,-21,0,21,0,141.009168,2397
24,46,37,2,Neutral,12,85,4,9,297,1,2,246,99,4,0.414588939,1,1,18,3.828949767,294,2.318092161,9,-3,9,3,148.0059001,2398
24,47,38,2,Neutral,12,122,2,162,168,1,2,45,96,2,0.386781692,0,0,51,4.9896503,171,1.81913236,-111,3,111,3,155.003565,2399
24,48,45,2,Neutral,8,80,5,126,48,1,2,81,312,3,0.995830883,1,0,153,3.827688216,48,1.593510205,27,0,27,0,162.0179509,2400
24,49,53,3,Negative,3,35,3,150,351,1,2,216,207,1,0.731184338,1,1,93,4.034350872,354,3.712993105,-57,3,57,3,1.006525038,2401
