"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"RH_LimbicA_TempPole_2","Onset","MemoryDetail",0.0588361835190134,0.0314025044136027,1.87361436986303,3418.9086803551,0.0610688347877332,0.206558887990481
"RH_LimbicA_TempPole_3","Onset","MemoryDetail",0.0540436893559054,0.0349813012124423,1.5449307911017,25.2089066665396,0.134825394624635,0.348656139443816
"RH_LimbicA_TempPole_4","Onset","MemoryDetail",0.18848932763648,0.0348422142486961,5.40979761765671,24.9108182555737,0.0000131067940214566,0.00133689299018857
"RH_LimbicB_OFC_1","Onset","MemoryDetail",-0.138331701764196,0.0364159089736721,-3.79866123523668,26.5327270956829,0.000768671670075184,0.0156809020695337
"RH_LimbicB_OFC_2","Onset","MemoryDetail",-0.091192640627018,0.0447922589684447,-2.03590179926539,26.7955970624608,0.051757422302777,0.1907104057985
"RH_LimbicB_OFC_3","Onset","MemoryDetail",-0.150884825141685,0.0536410157800428,-2.81286293608597,24.9577159680314,0.00942959540609413,0.0671468861957935
"RH_LimbicB_OFC_4","Onset","MemoryDetail",-0.388248800908169,0.0841911916415641,-4.61151331081167,27.11176329503,0.0000857634544003411,0.00341170090813089
"RH_SalVentAttnA_FrMed_1","Onset","MemoryDetail",-0.0241049560010772,0.0448191086009989,-0.537827653282242,22.4470035794379,0.595988733879218,0.780390316465372
"RH_SalVentAttnA_FrMed_2","Onset","MemoryDetail",0.052881598900444,0.0606075774939328,0.872524543745998,22.1549011568028,0.392280714526016,0.616560295679588
"RH_SalVentAttnA_FrOper_1","Onset","MemoryDetail",-0.0118010295881851,0.0499028780742287,-0.236479939506325,21.6379240505121,0.815284543634509,0.908841786346666
"RH_SalVentAttnA_Ins_1","Onset","MemoryDetail",-0.0183982482892947,0.0412924827990547,-0.445559265080468,3422.01683603542,0.655943826126933,0.815444683996537
"RH_SalVentAttnA_Ins_2","Onset","MemoryDetail",0.184375915390096,0.0464383310264754,3.97033897029976,27.3749087229823,0.000469487065214216,0.0112676895651412
"RH_SalVentAttnA_ParMed_1","Onset","MemoryDetail",-0.023518441267933,0.0405765725456367,-0.579606403214112,25.9077141351445,0.567186629131843,0.763736451108224
"RH_SalVentAttnA_ParMed_2","Onset","MemoryDetail",-0.0859712579895344,0.0435052654461794,-1.97611156047053,26.1690232915756,0.0587727364880052,0.206308209941588
"RH_SalVentAttnA_ParOper_1","Onset","MemoryDetail",0.0626756996383388,0.0864497733994644,0.724995534097341,22.8357186302746,0.475818801235519,0.684992685490763
"RH_SalVentAttnA_PrC_1","Onset","MemoryDetail",0.0962038872732358,0.090258678608738,1.06586855420596,25.8861396941694,0.296324011157959,0.552055692020307
"RH_SalVentAttnB_Ins_1","Onset","MemoryDetail",-0.260705959940741,0.054226552643986,-4.80771775503332,23.3396920215512,0.0000725167733416451,0.00328742705815458
"RH_SalVentAttnB_Ins_2","Onset","MemoryDetail",-0.128261870250807,0.0676726486995964,-1.89532806407756,25.0050139893808,0.0696659875769027,0.216974984208979
"RH_SalVentAttnB_IPL_1","Onset","MemoryDetail",-0.090190598712707,0.125321076844437,-0.719676218747003,20.2815320157058,0.479936178669091,0.684992685490763
"RH_SalVentAttnB_PFCl_1","Onset","MemoryDetail",-0.31337068169107,0.0920183331825475,-3.4055244303263,19.4375144864327,0.00289371791211863,0.0296582700752384
"RH_SalVentAttnB_PFClv_1","Onset","MemoryDetail",-0.281130744008712,0.107192787330844,-2.62266474274076,24.2592100618914,0.0148459627188849,0.0886720669909564
