"ROI","Phase","Feature","Beta","SE","T","Pvalue","Pfdr"
"RH_SomMotB_S2_6","Onset","MemoryDetail",0.085768591090524,0.0857865037365583,0.999791195056867,0.317477267006822,0.570619933651028
"RH_SomMotB_S2_7","Onset","MemoryDetail",0.0343307822614808,0.112630028027923,0.304810207922256,0.760528029443947,0.912633635332737
"RH_TempPar_1","Onset","MemoryDetail",0.113848788669307,0.0698258563116563,1.63046748988171,0.114946990575943,0.302570142935385
"RH_TempPar_2","Onset","MemoryDetail",0.0560816848225426,0.139752784747488,0.401292073885138,0.69199892736815,0.882298632394391
"RH_TempPar_3","Onset","MemoryDetail",-0.0346320728297662,0.13665474886977,-0.253427510688049,0.802245872091007,0.940564125899801
"RH_TempPar_4","Onset","MemoryDetail",0.031359742271762,0.108747276143726,0.288372669034167,0.775618028583209,0.91991905715683
"RH_VisCent_ExStr_1","Onset","MemoryDetail",0.196542843324979,0.0650262569815225,3.02251509541487,0.00537743249559462,0.0379360076085157
"RH_VisCent_ExStr_2","Onset","MemoryDetail",0.398465000252394,0.1303465055255,3.05696726311118,0.00539286382670076,0.0379360076085157
"RH_VisCent_ExStr_3","Onset","MemoryDetail",-0.0546449352683465,0.120250565733136,-0.454425598209794,0.653113481822633,0.854038211553926
"RH_VisCent_ExStr_4","Onset","MemoryDetail",0.386492024355241,0.142270065879112,2.71660817732134,0.0127032451701192,0.0681963688080085
"RH_VisCent_ExStr_5","Onset","MemoryDetail",0.385527472604676,0.105735013982123,3.64616656380128,0.00102679879542465,0.0167573563413302
"RH_VisCent_ExStr_6","Onset","MemoryDetail",-0.0102604498328268,0.0897630930038574,-0.114305885520076,0.909001542132804,0.960159327597552
"RH_VisPeri_ExStrSup_1","Onset","MemoryDetail",-0.177256114805546,0.0586408962460765,-3.02273884187788,0.00717219720665897,0.0469057671778442
"RH_VisPeri_ExStrSup_2","Onset","MemoryDetail",-0.0437942008309722,0.0563346253101998,-0.777394019926905,0.446078620976922,0.690863852150817
"RH_VisPeri_ExStrSup_3","Onset","MemoryDetail",-0.202450249979103,0.0887321057555901,-2.28158960339279,0.0323813915683978,0.130507487674764
"RH_VisPeri_ExStrSup_4","Onset","MemoryDetail",-0.0139617298974455,0.0888218301634424,-0.157188045683751,0.876591394198967,0.950454975883004
"RH_VisPeri_ExStrSup_5","Onset","MemoryDetail",-0.231520983053565,0.106164846276068,-2.18076878717014,0.0406612020526783,0.150816094886298
"RH_VisPeri_ExStrSup_6","Onset","MemoryDetail",-0.28731965547275,0.105259058814349,-2.72964302273983,0.0137263905687243,0.0708907259751839
"LH_AMYG","Offset","MemoryDetail",0.0619812040693355,0.0535530018150814,1.15738057566515,0.258357942067386,0.506779040209104
"LH_ContA_Cinga_1","Offset","MemoryDetail",-0.0132709730078751,0.0862715599580128,-0.15382790127284,0.878975228861521,0.950454975883004
"LH_ContA_IPS_1","Offset","MemoryDetail",0.135383776930804,0.114778843724544,1.17951856402831,0.247662381251454,0.499096736737514
"LH_ContA_IPS_2","Offset","MemoryDetail",0.0785318942550345,0.0984690619722455,0.797528611343628,0.431762378774309,0.676992040306599
"LH_ContA_IPS_3","Offset","MemoryDetail",0.127524977895672,0.107455928065417,1.18676540412026,0.245041158286925,0.499096736737514
