"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"RH_VisPeri_ExStrSup_3","Onset","MemoryDetail",-0.285723780940045,0.0953234394835254,-2.99741367378405,18.8293686732833,0.00745653424220045,0.049068805980932
"RH_VisPeri_StriCal_1","Onset","MemoryDetail",-0.1726458913222,0.0793865253877431,-2.17475056980962,22.1995926250504,0.0405766444029366,0.140410962547076
"LH_AMYG","Offset","MemoryDetail",0.0618954431023605,0.0515108383235158,1.20160038385754,24.1654504771483,0.241162589664455,0.468544459919512
"LH_ContA_Cingm_1","Offset","MemoryDetail",-0.0138597885771574,0.0516394689182473,-0.268395257881126,24.0363224695436,0.790685180963562,0.913879755901227
"LH_ContA_IPS_1","Offset","MemoryDetail",0.127350355514368,0.0985697879240271,1.29198163247063,28.1292185930268,0.206877868736188,0.426293790123054
"LH_ContA_IPS_2","Offset","MemoryDetail",0.089841404865722,0.0902658918458115,0.995297371228386,27.7136860879628,0.328202975221666,0.56447908950585
"LH_ContA_IPS_3","Offset","MemoryDetail",0.107804576790969,0.0823135375562075,1.30968222228761,28.1824602021575,0.200879881709995,0.420302521731681
"LH_ContA_PFCd_1","Offset","MemoryDetail",0.014470952862921,0.0489226941274927,0.29579223141738,24.9890234666844,0.769832834405306,0.907779758489494
"LH_ContA_PFCl_1","Offset","MemoryDetail",0.0529538264677246,0.0705044144596637,0.751071076521315,26.87598671633,0.459136245010511,0.673840244475857
"LH_ContA_PFCl_2","Offset","MemoryDetail",0.134339647206992,0.0572122580485243,2.34809203113521,26.906397361512,0.0264749693945103,0.106948391217428
"LH_ContA_PFCl_3","Offset","MemoryDetail",0.0563607719109672,0.0806408644072779,0.69891081060734,25.7346700639757,0.490876557819477,0.702984825463455
"LH_ContA_PFClv_1","Offset","MemoryDetail",0.0677294664756541,0.0510015124755223,1.32798937106346,26.8608462384851,0.195356520266966,0.415132605567302
"LH_ContA_Temp_1","Offset","MemoryDetail",0.293781126474159,0.0733696387302004,4.00412393407674,29.1195568853008,0.000393353026349778,0.00844673867108996
"LH_ContB_IPL_1","Offset","MemoryDetail",0.110520412335099,0.0757912468514511,1.45822132404968,27.9258529576861,0.155935468232174,0.360740727665924
"LH_ContB_PFCl_1","Offset","MemoryDetail",-0.0583822458619166,0.0602948827241848,-0.96827862040934,22.0512363891639,0.343406233677818,0.574303115429831
"LH_ContB_PFClv_1","Offset","MemoryDetail",0.038893232163155,0.0891619355083765,0.43620892639215,27.9628173719371,0.666034569375449,0.823460922136918
"LH_ContB_PFClv_2","Offset","MemoryDetail",-0.117205537332068,0.0658602306524315,-1.77961018616233,21.9267103345613,0.0890055703259733,0.250443259951704
"LH_ContB_Temp_1","Offset","MemoryDetail",0.109104548717464,0.0685695116291178,1.59115248344765,25.7086724282394,0.123798308001127,0.311788331262098
"LH_ContC_Cingp_1","Offset","MemoryDetail",-0.00221629293188841,0.0862636160624828,-0.0256920939910877,21.7262053944754,0.979737455056944,0.994085264382799
"LH_ContC_pCun_1","Offset","MemoryDetail",-0.0493218685590135,0.0863703178443611,-0.571051141063197,23.6642607184973,0.573348742705614,0.754600925883518
"LH_ContC_pCun_2","Offset","MemoryDetail",0.0143253690973979,0.0592265886069957,0.241873952802776,28.7654999128647,0.81059389450059,0.923805332280002
"LH_DefaultA_IPL_1","Offset","MemoryDetail",-0.0473464909655102,0.0651835559918585,-0.726356367722924,24.0848170376075,0.474620859326322,0.689129219235372
"LH_DefaultA_pCunPCC_1","Offset","MemoryDetail",-0.119968343781049,0.0585188343841161,-2.05008088496056,24.1985233586043,0.0513409187682927,0.167576758859707
"LH_DefaultA_pCunPCC_2","Offset","MemoryDetail",-0.102946333572305,0.0532394185926162,-1.93364871919512,26.3637738327369,0.0639604575754281,0.196209523990787
"LH_DefaultA_pCunPCC_3","Offset","MemoryDetail",-0.100036945865459,0.0538859099065729,-1.85645832164479,25.2648247272306,0.075086949107445,0.221996197361142
"LH_DefaultA_PFCd_1","Offset","MemoryDetail",-0.0813647233670075,0.0648488841480054,-1.25468193379099,21.3735245086902,0.223141432834205,0.448481303430323
"LH_DefaultA_PFCm_1","Offset","MemoryDetail",-0.0961475390993672,0.0376407896921767,-2.55434436646133,28.2952302153773,0.0163009008170519,0.0768778257234757
"LH_DefaultA_PFCm_2","Offset","MemoryDetail",-0.165548583606721,0.054090551199563,-3.06058230014965,3632.69013044583,0.00222521125541927,0.0267025350650312
"LH_DefaultA_PFCm_3","Offset","MemoryDetail",-0.162211210540438,0.0612457585521512,-2.64852970026185,26.5002262760626,0.0134475335590422,0.0677357245936939
"LH_DefaultB_IPL_1","Offset","MemoryDetail",0.063541929065657,0.0609693781418959,1.0421941473271,3562.79968676577,0.297392388584147,0.534520240274591
"LH_DefaultB_PFCd_1","Offset","MemoryDetail",-0.193866804584426,0.0712037047629811,-2.72270670788492,3633.68754865296,0.00650586998003537,0.0445749080319744
"LH_DefaultB_PFCd_2","Offset","MemoryDetail",-0.114512851731734,0.0628506841948125,-1.82198257980437,22.924478994755,0.0815313294143167,0.235676617578819
"LH_DefaultB_PFCd_3","Offset","MemoryDetail",-0.0630285692175147,0.0646877694282366,-0.974350634974938,3487.13703826425,0.329950054208017,0.56447908950585
"LH_DefaultB_PFCd_4","Offset","MemoryDetail",0.020857325162013,0.0801384415975321,0.260266168722893,23.8217744856657,0.796894936175648,0.917591279136701
"LH_DefaultB_PFCv_1","Offset","MemoryDetail",-0.0496185987395669,0.0434377794091035,-1.14229132829861,17.2929473869175,0.268902924247987,0.507927745801753
"LH_DefaultB_PFCv_2","Offset","MemoryDetail",0.025746178078681,0.0375327961605689,0.685964828427288,3673.36630988948,0.492778578633696,0.702984825463455
"LH_DefaultB_PFCv_3","Offset","MemoryDetail",0.0916888548713457,0.0841045110972967,1.09017760967988,22.4460928125544,0.287200495061529,0.525475638566688
"LH_DefaultB_PFCv_4","Offset","MemoryDetail",0.0562562651425415,0.0612250809336712,0.918843458998237,22.8947362429114,0.367757132268163,0.593844418498645
"LH_DefaultB_Temp_1","Offset","MemoryDetail",0.0205002222877514,0.0308322458199408,0.664895525531031,27.0536762619207,0.511745894626671,0.717499398651828
"LH_DefaultB_Temp_2","Offset","MemoryDetail",-0.025063255609267,0.0266888239963842,-0.939091794103125,3550.15937659063,0.347747502953001,0.579106045733978
"LH_DefaultB_Temp_3","Offset","MemoryDetail",-0.0119214780226751,0.0353144449313493,-0.337580784459455,26.746899718864,0.73831421665591,0.893539184316898
"LH_DefaultB_Temp_4","Offset","MemoryDetail",0.0970240418405092,0.0664971752920964,1.45907012462289,26.0542286137273,0.156497815678599,0.360740727665924
"LH_DefaultC_IPL_1","Offset","MemoryDetail",0.155173641898687,0.100622186355214,1.54214142545956,29.5059497947456,0.13369725151534,0.328605292881078
"LH_DefaultC_PHC_1","Offset","MemoryDetail",0.052022362206339,0.0477105800213542,1.09037371130376,27.2856437859462,0.285084482622933,0.525475638566688
"LH_DefaultC_Rsp_1","Offset","MemoryDetail",0.0336768104993506,0.0664072175710363,0.507125757276704,26.1686668578881,0.616313701671376,0.785799969631004
"LH_DorsAttnA_ParOcc_1","Offset","MemoryDetail",0.0666975189656854,0.056417798565191,1.18220704568286,27.2314078273648,0.247344021030503,0.478276590428651
"LH_DorsAttnA_SPL_1","Offset","MemoryDetail",0.0984162996519952,0.0983279674142129,1.00089834296493,27.9141370521239,0.325473927816003,0.56447908950585
"LH_DorsAttnA_SPL_2","Offset","MemoryDetail",0.100850571619214,0.105970518120202,0.951685180068848,26.4376762245143,0.34987690757754,0.5800716312277
"LH_DorsAttnA_SPL_3","Offset","MemoryDetail",-0.132560662165267,0.0843489116267911,-1.57157525341634,28.5382680108556,0.127071638396189,0.316129441863689
"LH_DorsAttnA_TempOcc_1","Offset","MemoryDetail",0.0980344741853373,0.0541400561091417,1.81075678953321,25.3976712493951,0.0820247051377262,0.235676617578819
"LH_DorsAttnA_TempOcc_2","Offset","MemoryDetail",0.16921385636506,0.0820849101146536,2.06144900601959,23.9659419924122,0.050267417089992,0.1659577563257
"LH_DorsAttnB_FEF_1","Offset","MemoryDetail",0.0101139780700308,0.0483172621211639,0.209324320667596,25.1602485618404,0.835880683847954,0.927545845280245
"LH_DorsAttnB_PostC_1","Offset","MemoryDetail",-0.0221024522785492,0.0687020021689297,-0.321714820249372,27.0096404875712,0.750145375455432,0.900174450546518
"LH_DorsAttnB_PostC_2","Offset","MemoryDetail",0.00659135814656352,0.0637353022238799,0.103417696575916,26.9339008563181,0.918397674877797,0.972284037221019
"LH_DorsAttnB_PostC_3","Offset","MemoryDetail",-0.0408182629741514,0.0461143532755872,-0.885153104722394,24.6037523639403,0.384643294289515,0.605924571699313
"LH_DorsAttnB_PostC_4","Offset","MemoryDetail",0.00874421794771917,0.0436275599573183,0.20042876466788,3542.10902852908,0.841156771455124,0.927545845280245
"LH_HIPP","Offset","MemoryDetail",0.139337013586186,0.0398585841922861,3.49578431873033,23.8579370584161,0.00187336096903377,0.0238853523551806
"LH_LimbicA_TempPole_1","Offset","MemoryDetail",0.0875759549628244,0.0304487135012905,2.87617915151367,25.4711451322913,0.00802602647766418,0.0492471593257319
"LH_LimbicA_TempPole_2","Offset","MemoryDetail",0.0852367984565783,0.0357297805809611,2.38559535129072,20.2328834851447,0.0269334026971455,0.107733610788582
"LH_LimbicA_TempPole_3","Offset","MemoryDetail",0.0756168950478671,0.0284094703268113,2.66167915761893,3597.39387627028,0.00780976806528636,0.0492471593257319
"LH_LimbicA_TempPole_4","Offset","MemoryDetail",0.0734973380546656,0.0638728540680916,1.15068191529869,25.1623679253036,0.260681276533001,0.495361279682015
"LH_LimbicB_OFC_1","Offset","MemoryDetail",0.00796081338969576,0.0344075013025864,0.231368541402841,25.3057949439245,0.818889089401755,0.927545845280245
"LH_LimbicB_OFC_2","Offset","MemoryDetail",0.0146481368361859,0.0231473254957142,0.632822000921793,3639.66993297067,0.526889642764056,0.724401965799403
"LH_SalVentAttnA_FrMed_1","Offset","MemoryDetail",0.0134658306993762,0.0489788554550976,0.274931510225291,22.2826765875673,0.785901970616554,0.910931829578278
"LH_SalVentAttnA_FrMed_2","Offset","MemoryDetail",0.0411402599294231,0.0636682375019558,0.646166150400492,24.2333213835113,0.5242444366373,0.724401965799403
"LH_SalVentAttnA_FrOper_1","Offset","MemoryDetail",0.115739492055958,0.0461353667425628,2.5086934434008,25.0334916474115,0.0189591158025834,0.0837007336312089
"LH_SalVentAttnA_FrOper_2","Offset","MemoryDetail",0.167003675921955,0.0751954624217065,2.22092757386576,24.4918424495391,0.0358453320760883,0.129423853867646
"LH_SalVentAttnA_Ins_1","Offset","MemoryDetail",0.055575439473727,0.0373251690023139,1.48895345846342,26.4530092910995,0.148325984489892,0.349809258218936
"LH_SalVentAttnA_ParMed_1","Offset","MemoryDetail",0.00117634868091858,0.0398499707854476,0.0295194364696539,24.1015697261509,0.976693401664433,0.994085264382799
"LH_SalVentAttnA_ParOper_1","Offset","MemoryDetail",0.0705704800432659,0.0518892640755781,1.36002083090788,24.4565375242818,0.186229443581351,0.406318785995674
"LH_SalVentAttnB_Ins_1","Offset","MemoryDetail",0.0518895467328458,0.0365281697937956,1.42053508362906,3621.85439584123,0.155538040815007,0.360740727665924
"LH_SalVentAttnB_IPL_1","Offset","MemoryDetail",0.209245502709067,0.0648210417574186,3.22804905684996,23.2412314297063,0.00368731673621388,0.0334095240163471
"LH_SalVentAttnB_PFCl_1","Offset","MemoryDetail",-0.0131844627740311,0.0565685462609719,-0.233070560328812,25.6568659432884,0.817556035208817,0.927545845280245
"LH_SalVentAttnB_PFCmp_1","Offset","MemoryDetail",-0.0808487302574004,0.0597468044452758,-1.35318919577452,22.3765245779206,0.189509223128823,0.409099275325713
"LH_SomMotA_1","Offset","MemoryDetail",0.0190357528579853,0.041914401203443,0.454157814770872,22.4641833831878,0.654072900140575,0.816090957973561
"LH_SomMotA_2","Offset","MemoryDetail",0.0952616285437446,0.0584877758251081,1.62874424954368,24.7406243150911,0.116035999523451,0.303478767984411
"LH_SomMotA_3","Offset","MemoryDetail",0.0247051802801895,0.081159403427022,0.304403177413745,23.0668408521796,0.763550057144194,0.90560588172916
"LH_SomMotA_4","Offset","MemoryDetail",0.0376307143909305,0.0485733925026298,0.774718677285988,26.5922606490624,0.445340273617395,0.663134422028821
"LH_SomMotA_5","Offset","MemoryDetail",0.0756960339133543,0.058284524026573,1.2987329857724,25.5373584950197,0.205640927802663,0.425895931692825
"LH_SomMotA_6","Offset","MemoryDetail",0.00283799505478282,0.0384392347885062,0.0738306855065548,22.8824935163141,0.941786726145392,0.985253805813641
"LH_SomMotA_7","Offset","MemoryDetail",0.0931635345114039,0.0487831862070676,1.90974681555151,20.5194929494663,0.0702457825301524,0.210737347590457
"LH_SomMotA_8","Offset","MemoryDetail",0.00695771546018758,0.0780013382950321,0.0891999497992039,25.6228172877739,0.929616582030983,0.976842759439959
"LH_SomMotB_Aud_1","Offset","MemoryDetail",0.0861622425258217,0.0520192881397688,1.65635181885449,23.4041741840872,0.110998331237222,0.298183317856267
"LH_SomMotB_Aud_2","Offset","MemoryDetail",-0.0267906854602798,0.060175635424995,-0.445208185523403,22.2565529110185,0.660469364880019,0.821559453875146
"LH_SomMotB_Aud_3","Offset","MemoryDetail",0.15291087932478,0.0613339522911274,2.49308700341002,24.4642779295225,0.019809957135024,0.0850785527483136
"LH_SomMotB_Cent_1","Offset","MemoryDetail",-0.0133510246130325,0.0921877232855945,-0.144824322992244,27.5696398128501,0.885903141673313,0.963862618140564
"LH_SomMotB_Cent_2","Offset","MemoryDetail",0.024015925570631,0.0606147187321299,0.39620617026638,24.4828684564638,0.695384962254114,0.852003196996031
"LH_SomMotB_S2_1","Offset","MemoryDetail",0.0649261374813899,0.0527870972149866,1.22996226174295,23.2796932609529,0.230996634585753,0.457507897626152
"LH_SomMotB_S2_2","Offset","MemoryDetail",0.0933079976041571,0.0607430016276216,1.53611107623841,24.8850371789501,0.137129403120465,0.33266427157898
"LH_SomMotB_S2_3","Offset","MemoryDetail",0.103422424835909,0.0739405130793837,1.39872473869464,20.9305090312753,0.176539191136247,0.397944696041927
"LH_TempPar_1","Offset","MemoryDetail",0.136945694124068,0.0524770175914466,2.60963180473102,23.7250016146898,0.0154463062795808,0.0747403839294439
